trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2025-01-25,0.0,6,0.0,0.0,24554.16,4092.36,0.0,75,Extreme Greed,Greed,,0,,0.0,0.0,0.0,0,6.0,100.0,Greed,Greed (56-75)
2025-01-26,1949.63,26,74.99,0.35,51666.67,1987.18,1949.63,73,Greed,Greed,,0,,1949.6285670000002,0.0,1949628.5670000003,0,0.4444444444444444,30.76923076923077,Greed,Greed (56-75)
2025-01-27,65.08,7,9.3,0.43,4585.8,655.11,69.04,71,Greed,Greed,,0,,67.057657,1.977415,33.9117772445339,0,2.5,71.42857142857143,Greed,Greed (56-75)
2025-01-28,391.93,19,20.63,0.63,16933.25,891.22,391.93,72,Greed,Greed,,0,,391.92537400000003,0.0,391925.374,0,1.1111111111111112,52.63157894736842,Greed,Greed (56-75)
2025-01-29,9.0,2,4.5,1.0,1407.23,703.62,9.0,72,Greed,Greed,,0,,8.998996,0.0,8998.996,0,1.0,50.0,Greed,Greed (56-75)
2025-01-30,269.75,14,19.27,0.36,27724.39,1980.31,269.75,70,Greed,Greed,,0,,269.74590400000005,0.0,269745.90400000004,0,0.4,28.57142857142857,Greed,Greed (56-75)
2025-01-31,111.72,9,12.41,0.44,5077.95,564.22,123.88,76,Extreme Greed,Extreme Greed,,0,,117.800098,6.082,19.36864485366656,0,0.8,44.44444444444444,Greed,Extreme Greed (76-100)
2025-02-01,27.93,4,6.98,0.25,17961.07,4490.27,27.93,68,Greed,Greed,,0,,27.927,0.0,27927.0,0,4.0,100.0,Greed,Greed (56-75)
2025-02-02,618.76,21,29.46,0.14,22619.87,1077.14,618.76,60,Greed,Greed,,0,,618.758154,0.0,618758.154,0,0.3125,23.809523809523807,Greed,Greed (56-75)
2025-02-03,3074.64,37,83.1,0.41,842056.33,22758.28,4194.59,44,Fear,Fear,,0,,3634.6119839999997,559.9743149999999,6.490676244677402,0,0.7619047619047619,43.24324324324324,Fear,Fear (26-45)
2025-02-04,4773.13,33,144.64,0.21,333981.4,10120.65,15072.88,72,Greed,Greed,,0,,9923.002633999999,5149.876128,1.9268429739597803,0,0.2692307692307692,21.21212121212121,Greed,Greed (56-75)
2025-02-05,13.85,14,0.99,0.29,212253.25,15160.95,13.85,54,Neutral,Neutral,,0,,13.85192,0.0,13851.92,0,0.75,42.857142857142854,Neutral,Neutral (46-55)
2025-02-06,234.65,17,13.8,0.53,22875.66,1345.63,234.65,49,Neutral,Neutral,,0,,234.64704500000002,0.0,234647.045,0,1.8333333333333333,64.70588235294117,Neutral,Neutral (46-55)
2025-02-07,424.76,29,14.65,0.1,69731.09,2404.52,427.82,44,Fear,Fear,,0,,426.29253300000005,1.529472,278.71875588438365,0,1.0714285714285714,51.724137931034484,Fear,Fear (26-45)
2025-02-08,0.0,1,0.0,0.0,2139.09,2139.09,0.0,44,Fear,Fear,,0,,0.0,0.0,0.0,0,1.0,100.0,Fear,Fear (26-45)
2025-02-09,431.01,10,43.1,0.6,30521.96,3052.2,438.38,46,Neutral,Neutral,,0,,434.696492,3.686976,117.90054830842402,0,4.0,80.0,Neutral,Neutral (46-55)
2025-02-10,6.98,7,1.0,0.14,23140.21,3305.74,6.98,43,Fear,Fear,,0,,6.9795,0.0,6979.5,0,0.4,28.57142857142857,Fear,Fear (26-45)
2025-02-11,-0.01,4,-0.0,0.0,3920.15,980.04,0.01,47,Neutral,Neutral,,0,,0.0,0.013412,0.0,0,3.0,75.0,Neutral,Neutral (46-55)
2025-02-12,-454.48,11,-41.32,0.27,42420.27,3856.39,733.38,46,Neutral,Neutral,,0,,139.451162,593.929,0.23479433063548003,0,1.2,54.54545454545454,Neutral,Neutral (46-55)
2025-02-13,0.0,2,0.0,0.0,440.81,220.4,0.0,50,Neutral,Neutral,,0,,0.0,0.0,0.0,0,1.0,50.0,Neutral,Neutral (46-55)
